Node,Hub Score
u3162,5.556973111156858e-07
u15080,3.4945822631933945e-07
u19853,3.177834176695613e-07
u9821,1.3130333328340167e-08
u776,5.952593178833117e-07
u8305,3.50548824044199e-07
u24295,1.3803329731522972e-139
u4893,1.9433806232016389e-07
u18588,2.189981431403148e-07
u19358,3.9669533743776433e-07
u18581,5.31531944651144e-07
u27556,8.135308664381339e-08
u29313,1.3803329731522972e-139
u16001,1.5991005524924254e-07
u6020,6.133479188719202e-06
u28168,1.3803329731522972e-139
u17392,3.593367899623889e-07
u5750,3.1206895266752178e-06
u28610,1.1898141718961968e-08
u6006,2.532146578497248e-06
u7975,4.615862706723393e-06
u18896,6.684546137712657e-07
u12865,2.150466214729725e-06
u28667,1.1579072221249146e-132
u14981,1.6927961701327713e-06
u13439,3.993073418739869e-07
u24767,1.3803329731522972e-139
u15033,3.030665406893342e-07
u9146,1.8464482434379796e-06
u24783,2.7610830783031845e-07
u5524,4.3853874254039077e-07
u14102,9.070427537570227e-08
u20306,3.198622890969562e-07
u24465,4.511491761054737e-08
u16834,4.2866417542384325e-07
u20257,2.2153115575215558e-07
u3477,3.308461323682405e-07
u14507,5.794984208219689e-07
u16147,2.842767864450481e-08
u26765,1.3803329731522972e-139
u7804,2.16421346684047e-06
u22550,1.3803329731522972e-139
u16149,3.402568379581426e-07
u8017,8.890433213621004e-07
u16894,2.9762099661901228e-08
u16751,1.3803329731522972e-139
u10151,5.246080034237066e-07
u25279,6.1982820149802e-08
u28706,1.3803329731522972e-139
u15689,1.4473248540044006e-06
u1127,0.00010673643461207753
u6271,1.558700024935292e-05
u9499,3.993063147210585e-07
u3377,1.0205594738150884e-06
u7934,1.76883212678143e-08
u10270,7.8629210247248e-07
u22235,3.1377586356636924e-07
u18903,1.548995566541729e-08
u6034,8.920870584679217e-07
u20190,2.9883988323174265e-07
u9897,4.1341423608464666e-07
u11843,5.149197649376163e-07
u26351,1.3803329731522972e-139
u22482,5.505102966571356e-08
u11168,3.348590665531967e-07
u1596,1.1410526444505018e-06
u817,0.0001104466880430492
u2741,5.541491557693066e-05
u2599,9.84534865715642e-05
u17939,3.701309946346768e-07
u4944,2.381431625772116e-06
u10443,4.661365853491448e-07
u20291,3.198622890969562e-07
u709,0.00010581023696801406
u326,0.005679244921027616
u18953,2.7267931633030874e-07
u3480,6.426812533616251e-07
u22715,8.772883077920948e-08
u24411,8.916842426186799e-08
